id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
133, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:50", "2024-1-29 16:59:52", "0.0,0.0", "11.705664,-3.248354", "0.12148"
134, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:52", "2024-1-29 16:59:53", "11.705664,-3.248354", "22.620552,-6.026392", "0.112629"
135, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:53", "2024-1-29 17:0:19", "22.620552,-6.026392", "8.516186,-13.326185", "0.158814"
136, "0", "S1_BasicMechanics", "real_life", "2024-1-29 17:0:19", "2024-1-29 17:0:20", "8.516186,-13.326185", "-4.94394,-10.541823", "0.137451"
137, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 17:0:21", "2024-1-29 17:0:21", "12951.813477,-4114.200684", "12758.496094,-4059.682129", "2.008581"
138, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 17:0:21", "2024-1-29 17:0:22", "12758.868164,-4060.052734", "12580.985352,-4006.719727", "1.857065"
139, "2", "Develop", "virtual_reality", "2024-1-29 17:18:16", "2024-1-29 17:18:16", "-14026.548828,9919.850586", "-13734.774414,10014.316406", "3.066857"
140, "2", "Develop", "virtual_reality", "2024-1-29 17:18:17", "2024-1-29 17:18:17", "-13735.041992,10015.53125", "-13643.369141,10340.910156", "3.380458"
141, "2", "Develop", "virtual_reality", "2024-1-29 17:18:18", "2024-1-29 17:18:18", "-13645.766602,10345.458008", "-13679.342773,10628.019531", "2.845499"
142, "2", "Develop", "virtual_reality", "2024-1-29 17:18:18", "2024-1-29 17:18:18", "-13682.206055,10630.092773", "-13779.700195,10870.233398", "2.591762"
143, "2", "Develop", "virtual_reality", "2024-1-29 17:18:18", "2024-1-29 17:18:18", "-13781.985352,10870.537109", "-13892.950195,11053.056641", "2.136039"
144, "2", "Develop", "virtual_reality", "2024-1-29 17:18:19", "2024-1-29 17:18:19", "-13893.739258,11052.298828", "-13992.113281,11153.571289", "1.411861"
145, "2", "Develop", "virtual_reality", "2024-1-29 17:18:19", "2024-1-29 17:18:19", "-13992.026367,11152.121094", "-14127.557617,11311.208984", "2.089926"
146, "2", "Develop", "virtual_reality", "2024-1-29 17:18:19", "2024-1-29 17:18:20", "-14127.34375,11311.03418", "-14220.0,11485.943359", "1.979353"
147, "2", "Develop", "virtual_reality", "2024-1-29 17:18:20", "2024-1-29 17:18:20", "-14215.692383,11486.378906", "-14219.975586,11568.348633", "0.820818"
148, "2", "Develop", "virtual_reality", "2024-1-29 17:18:21", "2024-1-29 17:18:21", "-14217.389648,11575.697266", "-14197.647461,11600.0", "0.313109"
149, "2", "Develop", "virtual_reality", "2024-1-29 17:18:23", "2024-1-29 17:18:23", "-14199.800781,11593.032227", "-14142.72168,11580.0", "0.585484"
150, "2", "Develop", "virtual_reality", "2024-1-29 17:18:25", "2024-1-29 17:18:26", "-14148.523438,11579.331055", "-14081.515625,11435.789062", "1.584119"
151, "2", "Develop", "virtual_reality", "2024-1-29 17:18:26", "2024-1-29 17:18:26", "-14081.367188,11433.709961", "-14034.02832,11368.015625", "0.809742"
152, "2", "Develop", "virtual_reality", "2024-1-29 17:18:32", "2024-1-29 17:18:33", "-14050.46875,11362.037109", "-14220.59375,11557.859375", "2.594007"
153, "2", "Develop", "virtual_reality", "2024-1-29 17:18:33", "2024-1-29 17:18:34", "-14219.704102,11557.25293", "-14350.458008,11559.541992", "1.307742"
